x,w01,w02
0.2112,2.8230,3.6382,
0.2132,2.8122,3.6267,
0.2152,2.8012,3.6152,
0.2172,2.7902,3.6034,
0.2192,2.7791,3.5916,
0.2212,2.7678,3.5796,
0.2232,2.7564,3.5675,
0.2252,2.7449,3.5553,
0.2272,2.7333,3.5429,
0.2292,2.7216,3.5304,
0.2312,2.7097,3.5177,
0.2332,2.6978,3.5050,
0.2352,2.6857,3.4920,
0.2372,2.6735,3.4789,
0.2392,2.6611,3.4657,
0.2412,2.6487,3.4523,
0.2432,2.6361,3.4388,
0.2452,2.6235,3.4251,
0.2472,2.6107,3.4113,
0.2492,2.5977,3.3973,
0.2513,2.5847,3.3832,
0.2533,2.5715,3.3689,
0.2553,2.5582,3.3545,
0.2573,2.5448,3.3398,
0.2593,2.5313,3.3251,
0.2613,2.5176,3.3101,
0.2633,2.5038,3.2950,
0.2653,2.4899,3.2798,
0.2673,2.4758,3.2643,
0.2693,2.4617,3.2487,
0.2713,2.4474,3.2329,
0.2733,2.4329,3.2170,
0.2753,2.4184,3.2008,
0.2773,2.4037,3.1845,
0.2793,2.3888,3.1679,
0.2813,2.3739,3.1512,
0.2833,2.3588,3.1343,
0.2853,2.3435,3.1172,
0.2873,2.3282,3.0999,
0.2893,2.3127,3.0824,
0.2913,2.2970,3.0647,
0.2933,2.2813,3.0468,
0.2953,2.2653,3.0287,
0.2973,2.2493,3.0103,
0.2993,2.2331,2.9918,
0.3013,2.2167,2.9730,
0.3033,2.2003,2.9540,
0.3053,2.1836,2.9347,
0.3073,2.1668,2.9152,
0.3093,2.1499,2.8955,
0.3113,2.1329,2.8755,
0.3133,2.1156,2.8553,
0.3153,2.0983,2.8348,
0.3173,2.0807,2.8141,
0.3193,2.0631,2.7931,
0.3213,2.0453,2.7718,
0.3233,2.0273,2.7502,
0.3253,2.0091,2.7284,
0.3273,1.9908,2.7063,
0.3293,1.9724,2.6838,
0.3313,1.9538,2.6611,
0.3333,1.9350,2.6381,
0.3353,1.9161,2.6147,
0.3373,1.8970,2.5911,
0.3393,1.8777,2.5671,
0.3413,1.8583,2.5428,
0.3433,1.8387,2.5181,
0.3453,1.8189,2.4931,
0.3473,1.7989,2.4678,
0.3493,1.7788,2.4421,
0.3514,1.7585,2.4161,
0.3534,1.7381,2.3896,
0.3554,1.7174,2.3628,
0.3574,1.6966,2.3357,
0.3594,1.6756,2.3081,
0.3614,1.6544,2.2801,
0.3634,1.6330,2.2518,
0.3654,1.6115,2.2231,
0.3674,1.5898,2.1939,
0.3694,1.5678,2.1643,
0.3714,1.5457,2.1344,
0.3734,1.5234,2.1040,
0.3754,1.5009,2.0732,
0.3774,1.4782,2.0419,
0.3794,1.4553,2.0103,
0.3814,1.4322,1.9782,
0.3834,1.4089,1.9457,
0.3854,1.3854,1.9128,
0.3874,1.3617,1.8794,
0.3894,1.3378,1.8457,
0.3914,1.3137,1.8115,
0.3934,1.2894,1.7768,
0.3954,1.2649,1.7418,
0.3974,1.2402,1.7064,
0.3994,1.2153,1.6706,
0.4014,1.1901,1.6343,
0.4034,1.1648,1.5977,
0.4054,1.1393,1.5608,
0.4074,1.1135,1.5234,
0.4094,1.0876,1.4857,
0.4114,1.0614,1.4477,
0.4134,1.0351,1.4093,
0.4154,1.0085,1.3707,
0.4174,0.9818,1.3317,
0.4194,0.9548,1.2925,
0.4214,0.9277,1.2530,
0.4234,0.9003,1.2133,
0.4254,0.8728,1.1734,
0.4274,0.8451,1.1333,
0.4294,0.8172,1.0930,
0.4314,0.7892,1.0526,
0.4334,0.7610,1.0121,
0.4354,0.7327,0.9716,
0.4374,0.7042,0.9309,
0.4394,0.6756,0.8903,
0.4414,0.6469,0.8497,
0.4434,0.6182,0.8092,
0.4454,0.5893,0.7687,
0.4474,0.5604,0.7284,
0.4494,0.5315,0.6883,
0.4515,0.5025,0.6485,
0.4535,0.4737,0.6089,
0.4555,0.4448,0.5697,
0.4575,0.4161,0.5309,
0.4595,0.3876,0.4926,
0.4615,0.3593,0.4548,
0.4635,0.3312,0.4176,
0.4655,0.3035,0.3812,
0.4675,0.2762,0.3456,
0.4695,0.2494,0.3108,
0.4715,0.2232,0.2771,
0.4735,0.1977,0.2446,
0.4755,0.1730,0.2133,
0.4775,0.1493,0.1834,
0.4795,0.1267,0.1552,
0.4815,0.1054,0.1286,
0.4835,0.0855,0.1041,
0.4855,0.0673,0.0816,
0.4875,0.0508,0.0615,
0.4895,0.0364,0.0440,
0.4915,0.0241,0.0291,
0.4935,0.0142,0.0172,
0.4955,0.0068,0.0083,
0.4975,0.0021,0.0026,
0.4995,0.0000,0.0001,
0.5015,0.0007,0.0009,
0.5035,0.0041,0.0050,
0.5055,0.0102,0.0124,
0.5075,0.0189,0.0228,
0.5095,0.0299,0.0362,
0.5115,0.0433,0.0524,
0.5135,0.0588,0.0713,
0.5155,0.0762,0.0926,
0.5175,0.0953,0.1161,
0.5195,0.1159,0.1417,
0.5215,0.1379,0.1691,
0.5235,0.1611,0.1982,
0.5255,0.1853,0.2288,
0.5275,0.2104,0.2607,
0.5295,0.2362,0.2938,
0.5315,0.2627,0.3281,
0.5335,0.2898,0.3633,
0.5355,0.3173,0.3993,
0.5375,0.3452,0.4361,
0.5395,0.3734,0.4736,
0.5415,0.4019,0.5117,
0.5435,0.4305,0.5502,
0.5455,0.4592,0.5893,
0.5475,0.4881,0.6287,
0.5495,0.5170,0.6684,
0.5516,0.5459,0.7084,
0.5536,0.5749,0.7486,
0.5556,0.6037,0.7889,
0.5576,0.6326,0.8294,
0.5596,0.6613,0.8700,
0.5616,0.6899,0.9106,
0.5636,0.7185,0.9513,
0.5656,0.7469,0.9919,
0.5676,0.7751,1.0324,
0.5696,0.8032,1.0728,
0.5716,0.8312,1.1132,
0.5736,0.8590,1.1534,
0.5756,0.8866,1.1934,
0.5776,0.9140,1.2332,
0.5796,0.9413,1.2728,
0.5816,0.9683,1.3121,
0.5836,0.9952,1.3512,
0.5856,1.0218,1.3900,
0.5876,1.0483,1.4285,
0.5896,1.0745,1.4667,
0.5916,1.1006,1.5046,
0.5936,1.1264,1.5421,
0.5956,1.1521,1.5793,
0.5976,1.1775,1.6161,
0.5996,1.2027,1.6525,
0.6016,1.2278,1.6885,
